feature,n,mae,rmse,max_abs
LUMO+8s-LUMO+3i,52,0.05017499999999996,0.05709509938319506,0.130321
LUMO+6s-LUMO+3i,52,0.05003065384615381,0.05684217762941392,0.128255
LUMOs-HOMO-2i,52,0.03716565384615385,0.05679026149451493,0.21182900000000005
HOMO-1s-LUMO+2i,52,0.050808961538461546,0.05675278308492559,0.096638
HOMO-7s-LUMO+2i,52,0.050784499999999996,0.05664418097515536,0.09429199999999999
HOMO-2s-LUMO+2i,52,0.05061503846153846,0.05654261945477669,0.09592800000000001
HOMO-5s-LUMO+2i,52,0.04964365384615385,0.05609788915437838,0.10109200000000002
LUMO+1s-LUMOi,52,0.044842480769230766,0.05574104492254959,0.13429
LUMO+5s-LUMO+3i,52,0.04819167307692306,0.055317155730700895,0.127734
LUMO+7s-LUMO+3i,52,0.04821582692307692,0.0552782272604476,0.126922
LUMO+2s-LUMOi,52,0.04412465384615384,0.055100965502150955,0.134306
HOMO-8s-LUMO+2i,52,0.04887321153846153,0.054854290649620815,0.092173
LUMO+9s-LUMO+3i,52,0.04723526923076922,0.054452889136813974,0.126185
HOMO-3s-LUMO+2i,52,0.04775432692307692,0.05383747078172484,0.091192
HOMOs-LUMO+3i,52,0.04615111538461539,0.053678423231098386,0.12374300000000002
HOMO-4s-LUMO+2i,52,0.04599990384615385,0.052768915779994506,0.09665099999999999
HOMO-10s-LUMO+3i,52,0.04533607692307692,0.05270342309529371,0.12156
HOMO-9s-LUMO+3i,52,0.044841461538461545,0.052354211407635444,0.119701
HOMO-6s-LUMO+3i,52,0.0447808076923077,0.05230402598822507,0.11963599999999996
LUMO+3s-LUMOi,52,0.0402404423076923,0.05170376952501774,0.129033
LUMOs-LUMO+1i,52,0.045574711538461536,0.0514409634298985,0.11157500000000009
LUMO+10s-LUMOi,52,0.03938434615384615,0.05113479930724582,0.13057999999999997
HOMO-1s-LUMO+3i,52,0.04321219230769231,0.05112132723651722,0.11913000000000001
HOMO-7s-LUMO+3i,52,0.043194653846153855,0.05094376554103554,0.116784
HOMO-2s-LUMO+3i,52,0.043000730769230784,0.05090867563777621,0.11842000000000003
LUMO+4s-LUMOi,52,0.03823482692307692,0.05034915448167159,0.130947
HOMO-5s-LUMO+3i,52,0.041721269230769235,0.05031742370308107,0.12358399999999997
LUMO+8s-LUMOi,52,0.03806303846153846,0.05028303743540926,0.131354
LUMO+6s-LUMOi,52,0.037918692307692306,0.04994997934126007,0.129288
LUMO+1s-LUMO+1i,52,0.043734596153846166,0.049448278212032994,0.1038650000000001
HOMO-8s-LUMO+3i,52,0.041100788461538466,0.049223902817205505,0.11466500000000002
LUMO+2s-LUMO+1i,52,0.043017384615384596,0.048800568978792085,0.103881
LUMO+5s-LUMOi,52,0.03607971153846154,0.048645812942794825,0.128767
LUMO+7s-LUMOi,52,0.03610386538461539,0.04856293022876447,0.12795499999999999
HOMO-3s-LUMO+3i,52,0.03987175000000001,0.048276568736611444,0.11368400000000001
LUMO+9s-LUMOi,52,0.035137115384615385,0.04783975161572065,0.127218
HOMO-4s-LUMO+3i,52,0.037907442307692316,0.04726431175702641,0.119143
HOMOs-LUMOi,52,0.034092346153846154,0.04675045083904375,0.124776
HOMO-10s-LUMOi,52,0.033240653846153836,0.04614200443822226,0.12259300000000001
HOMO-9s-LUMOi,52,0.032737153846153846,0.04562344778603011,0.12073400000000001
HOMO-6s-LUMOi,52,0.03267953846153847,0.045578569382567706,0.12066899999999997
LUMO+3s-LUMO+1i,52,0.03909905769230769,0.04533273272851102,0.098608
LUMO+10s-LUMO+1i,52,0.03824296153846154,0.04476513736457458,0.100155
HOMO-1s-LUMOi,52,0.031239,0.04449772172084942,0.12016300000000002
HOMO-5s-LUMOi,52,0.030508576923076923,0.04448506898387367,0.12461699999999998
HOMO-7s-LUMOi,52,0.031124307692307698,0.04440947503760189,0.117817
HOMO-2s-LUMOi,52,0.031017769230769227,0.04432219796384373,0.11945299999999998
LUMO+4s-LUMO+1i,52,0.037093442307692306,0.04398535596278694,0.100522
LUMO+8s-LUMO+1i,52,0.036939423076923064,0.0439261001250089,0.100929
LUMO+6s-LUMO+1i,52,0.036777307692307686,0.04356846888651681,0.0988629999999999
HOMO-8s-LUMOi,52,0.029201442307692307,0.04301163485057539,0.11569800000000002
LUMO+5s-LUMO+1i,52,0.03511859615384615,0.042271354326040844,0.09834200000000001
HOMO-3s-LUMOi,52,0.028154980769230772,0.042232027434756195,0.11471700000000001
LUMO+7s-LUMO+1i,52,0.03508151923076923,0.04217680594943332,0.09753
HOMO-4s-LUMOi,52,0.028413134615384618,0.042011889243723885,0.120176
